01	,9q,28.6,-27.9,0.006445965744119144,6.529210409951551
02	,9q,31.5,-23.7,0.006869628714261004,8.090116249133768
03	,9q,37.7,-12.5,0.005461016160419324,11.4021583890355
04	,9q,43.4,-11.0,0.00322234854636997,14.169529965892181
05	,9q,47.3,-6.3,0.001962251678344197,17.862487930161834
06	,9q,52.0,-2.3,7.555796652200863E-4,22.901300865129485
07	,9q,52.2,5.6,0.0011831296696525337,25.376104178841498
08	,9q,49.8,3.7,9.647723898243561E-4,24.568745641917054
09	,9q,48.0,-1.9,0.0012727903974436388,21.57398655974696
10	,9q,43.0,-7.7,0.0030391408722492594,15.975483307522254
11	,9q,34.7,-24.0,0.0038454784123277143,10.548921306691263
12	,9q,26.4,-31.8,0.006082714404893513,5.971161691204606
