8e3	206.4	14.358750921	0.019022084	216.090412882	2.263289695
9mu	52.808373984	17.956201120	0.002260848	200.031337177	2.085136326
9my	154.710810811	24.139217158	0.000901625	236.428581205	2.192969644
9px	296.014244604	10.387130141	0.015520682	152.059860958	1.334715399
9q4	84.4734375	15.419283589	0.001861256	209.646600887	1.594828665
9qb	385.580163934	12.028085949	0.004948147	183.235858056	1.781835898
9qd	73.003129032	13.049081591	0.004449355	203.803203105	1.624957266
9qs	397.892105263	26.690284563	0.000369753	227.800078848	2.135814007
9qt	1041.015625	18.578921465	0.001028778	222.834034903	2.627501830
9qy	84.360559541	10.364036063	0.003483960	200.459327957	1.782621401
9r0	866.828435754	15.882339075	0.008337728	193.687791204	1.666129719
9r6	266.299939024	7.000517059	0.003169911	192.366982118	2.489725130
9rb	24.773449367	11.482708455	0.009404133	146.614488996	0.957041902
9rd	56.586000000	7.802356877	0.002473483	185.577414748	2.154241256
9rf	226.434782609	11.773508236	0.002361191	165.180658910	1.807823638
9rr	1214.836882353	10.124025640	0.002795093	197.239568272	1.731893053
9rs	5815.806164384	9.625883283	0.002582203	181.426742197	1.867428810
9rx	3644.374260355	7.811017894	0.002983778	192.259499201	2.538866582
9t8	750.56875	21.742839583	0.002473086	234.382153057	1.534994382
9t9	151.940572519	15.659695460	0.004061836	231.189330110	2.049785137
9tn	122.937209302	19.786759075	0.002869648	247.965415032	1.706418380
9tu	171.238007663	16.021150305	0.002072777	220.388006548	1.982246607
9tw	257.668918919	18.737617295	0.003615959	225.557157952	2.488628117
9ud	17.187142857	23.110720288	0.006156611	189.714807153	2.554617858
9v5	148.477777778	21.342405188	0.008590895	191.339674805	1.721915159
9v6	8.999797980	19.497198537	0.008027659	192.068947780	2.115999177
9v8	1151.749719101	18.041115630	0.005393652	209.111203211	1.940073896
9ve	8.529069767	19.269785443	0.010562606	185.372096967	1.596508341
9vq	9.659259259	19.133789255	0.016903309	181.013915247	1.371435421
9vy	16.043095238	16.394797326	0.013961060	170.718668096	0.632908620
9w2	93.418658295	11.805693657	0.003403052	220.054464883	2.671690868
9w5	78.804621622	15.604933750	0.001905716	228.210081177	2.086482170
9wb	122.532389127	11.436235029	0.002384439	200.667193989	2.215901453
9wd	12.107207143	9.241308171	0.004292732	218.454314363	1.960393537
9wg	17.386872038	6.623204748	0.005164495	204.834518939	1.707953440
9wk	64.165806112	5.978757996	0.006007121	203.111157518	2.017648921
9wn	343.026305970	14.956786062	0.004513401	218.039609503	3.117988809
9ww	2242.65	12.377857968	0.002950080	208.336991267	2.466210454
9wx	40.655555556	14.155270946	0.004419270	211.629303105	3.488758815
9x4	37.798403990	10.086010720	0.002898183	199.260230880	2.061666756
9xc	844.075972222	3.753529057	0.005888870	178.508853154	1.460146269
9xd	447.699217391	8.815350009	0.003433143	188.921913767	2.181630366
9xh	7.732000000	2.579294665	0.009542234	172.644800392	2.534644467
9xm	299.641926606	9.308965854	0.003489345	189.187789474	2.950434942
9xr	1512.796	9.677720760	0.004027492	188.184150980	4.674590483
9xv	194.139683377	5.931153268	0.007308082	168.880976147	2.695510776
9xw	589.805035129	8.330213738	0.003424935	194.081184410	2.680980140
9y6	25.75	15.969898074	0.007812897	188.894701449	2.046039703
9yb	1.505	12.270691004	0.004382771	199.385800938	3.284706486
9yg	603.731428571	13.694011581	0.007617288	183.611645390	2.674935644
9yq	12.074725275	13.648323988	0.012285698	171.361457634	1.666555833
9ys	11.0025	14.036902321	0.011436681	178.811708513	2.141057392
9yw	112.1625	12.826808243	0.010677210	176.156919488	1.918287186
9z5	5.432	12.393907684	0.007939756	183.521370938	2.775256078
9z7	0.47125	12.351434474	0.008737911	181.014244953	1.189033517
9zb	121.858644068	8.911507480	0.004243383	175.668357046	3.395696307
9zg	0.01	7.972263701	0.006436720	168.572612437	2.321495514
9zj	0.1	12.034771327	0.009312068	173.508942232	2.421532326
9zm	30.005	10.229353422	0.008624806	171.036893587	2.725473693
9zz	1.410322581	8.072288364	0.007692448	156.508160193	2.559768077
b3v	3.5	5.429857995	0.010824467	108.056655842	3.751557030
b7y	1259.392	0.115397965	0.005495627	52.929594719	2.719548780
bdd	1868.5	3.191553629	0.005355189	94.222245758	0.859733055
bdv	302.878571429	2.211408130	0.004502906	97.922140109	0.921892439
be6	13709.723913043	0.983057705	0.003048694	91.282801512	0.879517562
bek	12893.327777778	-0.682981055	0.011566463	54.754462189	1.341531627
bex	4045.998076923	-0.107031656	0.004233748	93.489841718	1.320375806
bfr	3.75	5.557031938	0.015151273	87.237348417	1.198922453
bg0	495.853846154	-3.043060046	0.006213306	89.148743747	0.643645748
bg5	3756.866666667	0.181824930	0.003736291	108.444865029	0.465156696
bkh	4323.036842105	-0.879976664	0.006906934	87.548350836	2.443535177
bs1	0.1	-6.858061728	0.003004340	87.910827313	2.386105612
bsq	1630.7	-1.712988913	0.002706289	105.553353326	3.938236369
c0r	220.815384615	9.835541508	0.039120528	112.762235376	0.527844203
c1f	0.1	8.418878055	0.026050245	100.690392684	2.230078082
c2k	10.993636364	8.302946621	0.003891453	163.175256707	1.435438375
c2p	384.380147929	5.252941367	0.002568115	175.917444781	2.211474447
